Ageband_LabelValue,N_sum,age_mean,age_sd,followup_median,Gender_LabelValue,Exposure_LabelValue,Ageband_LevelOrder,Gender_LevelOrder,Exposure_LevelOrder,prop_Ageband_N_99,prop_Gender_N_99,Ageband_ValueOrder
0-4,7,0.857142857142857,1.0690449676497,62,AllGender,0,1,99,1,0.102941176470588,1,1
0-4,2,1,1.4142135623731,92,AllGender,1,1,99,1,0.0645161290322581,1,1
0-4,9,0.888888888888889,1.05409255338946,62,AllGender,AllExposure,1,99,99,0.0909090909090909,1,1
0-4,5,0.8,1.09544511501033,55,F,0,1,1,1,0.142857142857143,0.714285714285714,1
0-4,1,0,,130,F,1,1,1,1,0.0526315789473684,0.5,1
0-4,6,0.666666666666667,1.03279555898864,58.5,F,AllExposure,1,1,99,0.111111111111111,0.666666666666667,1
0-4,2,1,1.4142135623731,64.5,M,0,1,1,1,0.0606060606060606,0.285714285714286,1
0-4,1,2,,54,M,1,1,1,1,0.0833333333333333,0.5,1
0-4,3,1.33333333333333,1.15470053837925,63,M,AllExposure,1,1,99,0.0666666666666667,0.333333333333333,1
5-17,6,13.5,1.87082869338697,69.5,AllGender,0,1,99,1,0.0882352941176471,1,2
5-17,5,14.2,2.38746727726266,50,AllGender,1,1,99,1,0.161290322580645,1,2
5-17,11,13.8181818181818,2.04049904769308,57,AllGender,AllExposure,1,99,99,0.111111111111111,1,2
5-17,2,13,2.82842712474619,90.5,F,0,1,1,1,0.0571428571428571,0.333333333333333,2
5-17,2,16.5,0.707106781186548,44,F,1,1,1,1,0.105263157894737,0.4,2
5-17,4,14.75,2.62995563967658,60.5,F,AllExposure,1,1,99,0.0740740740740741,0.363636363636364,2
5-17,4,13.75,1.70782512765993,62,M,0,1,1,1,0.121212121212121,0.666666666666667,2
5-17,3,12.6666666666667,1.52752523165195,52,M,1,1,1,1,0.25,0.6,2
5-17,7,13.2857142857143,1.60356745147455,57,M,AllExposure,1,1,99,0.155555555555556,0.636363636363636,2
18-44,17,27.5294117647059,9.00775809412936,56,AllGender,0,1,99,1,0.25,1,3
18-44,7,35.8571428571429,9.24533344321288,45,AllGender,1,1,99,1,0.225806451612903,1,3
18-44,24,29.9583333333333,9.67955787108637,55.5,AllGender,AllExposure,1,99,99,0.242424242424242,1,3
18-44,10,25.6,8.0718991294215,54,F,0,1,1,1,0.285714285714286,0.588235294117647,3
18-44,2,32,16.9705627484771,83,F,1,1,1,1,0.105263157894737,0.285714285714286,3
18-44,12,26.6666666666667,9.25726577867189,54,F,AllExposure,1,1,99,0.222222222222222,0.5,3
18-44,7,30.2857142857143,10.1770048919821,59,M,0,1,1,1,0.212121212121212,0.411764705882353,3
18-44,5,37.4,6.76756972627545,45,M,1,1,1,1,0.416666666666667,0.714285714285714,3
18-44,12,33.25,9.30420237409859,57.5,M,AllExposure,1,1,99,0.266666666666667,0.5,3
45-64,25,55.12,5.47205019470156,53,AllGender,0,1,99,1,0.367647058823529,1,4
45-64,9,55.7777777777778,5.0194067821252,48,AllGender,1,1,99,1,0.290322580645161,1,4
45-64,34,55.2941176470588,5.28880700166789,52,AllGender,AllExposure,1,99,99,0.343434343434343,1,4
45-64,11,56.0909090909091,5.87289614167568,57,F,0,1,1,1,0.314285714285714,0.44,4
45-64,8,55.875,5.35690475661352,47.5,F,1,1,1,1,0.421052631578947,0.888888888888889,4
45-64,19,56,5.5075705472861,51,F,AllExposure,1,1,99,0.351851851851852,0.558823529411765,4
45-64,14,54.3571428571429,5.22725318156447,52,M,0,1,1,1,0.424242424242424,0.56,4
45-64,1,55,,122,M,1,1,1,1,0.0833333333333333,0.111111111111111,4
45-64,15,54.4,5.03984126734166,53,M,AllExposure,1,1,99,0.333333333333333,0.441176470588235,4
65+,13,76.6153846153846,7.74099973666689,52,AllGender,0,1,99,1,0.191176470588235,1,5
65+,8,72.875,7.10005030163268,114,AllGender,1,1,99,1,0.258064516129032,1,5
65+,21,75.1904761904762,7.55393306575487,64,AllGender,AllExposure,1,99,99,0.212121212121212,1,5
65+,7,79,7.16472842006823,64,F,0,1,1,1,0.2,0.538461538461538,5
65+,6,74.5,7.50333259292163,114,F,1,1,1,1,0.315789473684211,0.75,5
65+,13,76.9230769230769,7.38761958122663,112,F,AllExposure,1,1,99,0.240740740740741,0.619047619047619,5
65+,6,73.8333333333333,8.0601902376226,49,M,0,1,1,1,0.181818181818182,0.461538461538462,5
65+,2,68,2.82842712474619,82.5,M,1,1,1,1,0.166666666666667,0.25,5
65+,8,72.375,7.40535520513943,49,M,AllExposure,1,1,99,0.177777777777778,0.380952380952381,5
AllAgeband,68,43.0735294117647,25.2877860768942,56.5,AllGender,0,99,99,1,1,1,6
AllAgeband,31,45.4516129032258,24.1851727437528,52,AllGender,1,99,99,1,1,1,6
AllAgeband,99,43.8181818181818,24.8490806450738,55,AllGender,AllExposure,99,99,99,1,1,6
AllAgeband,35,41.6,27.5853754945709,57,F,0,99,1,1,1,0.514705882352941,6
AllAgeband,19,52.1578947368421,23.5142112063103,51,F,1,99,1,1,1,0.612903225806452,6
AllAgeband,54,45.3148148148148,26.4923086553359,56,F,AllExposure,99,1,99,1,0.545454545454545,6
AllAgeband,33,44.6363636363636,22.9235389144791,56,M,0,99,1,1,1,0.485294117647059,6
AllAgeband,12,34.8333333333333,22.1311517727361,53,M,1,99,1,1,1,0.387096774193548,6
AllAgeband,45,42.0222222222222,22.8875600281114,54,M,AllExposure,99,1,99,1,0.454545454545455,6
